新名字的故事,[意] 埃莱娜·费兰特,9.0,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg,https://book.douban.com/subject/26986954/
城南旧事,林海音 文,9.0,https://img1.doubanio.com/view/subject/s/public/s2654869.jpg,https://book.douban.com/subject/1254588/
失踪的孩子,[意] 埃莱娜·费兰特,9.1,https://img1.doubanio.com/view/subject/s/public/s29799269.jpg,https://book.douban.com/subject/30172069/
冰与火之歌,[美]乔治·R.R.马丁,9.5,https://img9.doubanio.com/view/subject/s/public/s27218035.jpg,https://book.douban.com/subject/25826936/
傲慢与偏见,[英] 奥斯丁,8.9,https://img3.doubanio.com/view/subject/s/public/s4250062.jpg,https://book.douban.com/subject/1083428/
格林童话全集,[德国]格林兄弟,9.0,https://img3.doubanio.com/view/subject/s/public/s1134341.jpg,https://book.douban.com/subject/1043008/
黄金时代,王小波,8.9,https://img3.doubanio.com/view/subject/s/public/s1076372.jpg,https://book.douban.com/subject/1089243/
我与地坛,史铁生,9.1,https://img1.doubanio.com/view/subject/s/public/s1151479.jpg,https://book.douban.com/subject/1209899/
历史深处的忧虑,林达,9.0,https://img9.doubanio.com/view/subject/s/public/s1768916.jpg,https://book.douban.com/subject/1027191/
无人生还,[英] 阿加莎・克里斯蒂,8.9,https://img3.doubanio.com/view/subject/s/public/s2962510.jpg,https://book.douban.com/subject/3006581/
文学回忆录（全2册）,木心 口述,9.1,https://img1.doubanio.com/view/subject/s/public/s24611679.jpg,https://book.douban.com/subject/20440644/
白鹿原,陈忠实,9.2,https://img9.doubanio.com/view/subject/s/public/s28111905.jpg,https://book.douban.com/subject/10564071/
神雕侠侣,金庸,8.9,https://img9.doubanio.com/view/subject/s/public/s26018916.jpg,https://book.douban.com/subject/1255624/
史记（全十册）,司马迁,9.5,https://img9.doubanio.com/view/subject/s/public/s1953384.jpg,https://book.douban.com/subject/1077847/
悲惨世界（上中下）,[法] 雨果,9.0,https://img9.doubanio.com/view/subject/s/public/s4521754.jpg,https://book.douban.com/subject/1205054/
